,요리명,재료
261852,쿠키,"['밀가루 1컵', '설탕3스푼', '아몬드슬라이스 1줌', '달걀노른자 1개', '버터 80g']"
133053,참치김치찌개,"['신김치 국그릇1대접', '참치캔 135g', '물 500ml  치킨스톡고체형 1알', '황설탕 1큰술']"
236243,된장국,"['불린 시래기 300g', '멸치 1줌', '다시마 1장', '물 1L', '된장 2Ts', '양파 1/2개', '청양고추 1개', '홍고추 1개']"
241418,새우젓부추계란국,"['부추 조금', '양파 1/2개', '새우젓 1/2t', '두부 1/2모  국간장 1.5t', '전분 2t']"
301314,소고기버섯덮밥,"['밥 2공기', '소고기불고기용 400g', '소금 1/2작은술', '후춧가루 1/2작은술', '양파 1/2개', '당근 1/2개', '느타리버섯 1줌', '대파 10cm', '간장 1큰술', '참기름 1큰술', '식용유 1큰술', '깻잎 6장']"
70002,녹차버터쿠키,"['박력분 1컵', '슈가파우더 1/2컵', '계란푼것 1/2개', '녹차가루 1큰술+a  소금 1~2꼬집']"
88239,궁중떡볶이,"['떡볶이 떡 300g', '불고기용 고기 100g', '표고버섯 2개', '양파 1/3개', '대파', '당근', '올리고당 1T', '참기름', '검은깨  간장 1T', '맛술 1T', '마늘 1/2T', '설탕 1/2T  간장 3T(기호에 따라 조절)', '설탕 1T', '물 150ml']"
137331,불닭소스주먹밥,"['참기름 1T', '마요네즈 원하는양', '쌀밥 원하는양', '김 1개', '참치통조림 1~ 2캔', '소금 1/2꼬집  불닭소스 3T', '마요네즈 7T']"
25824,단호박송편,"['쌀가루', '단호박', '깨', '꿀']"
25146,버섯샐러드,"['가지 1개', '호박 1/2개', '양파 1/2개', '감자 중 1개', '양송이버섯 5개', '애느타리버섯 1팩', '소금 약간', '후춧가루 약간', '포도씨오일 적당량  설탕 1스푼', '식초 1스푼', '간장 2스푼', '다진 마늘 0.5스푼', '송송 썬 쪽파나 실파 2스푼', '통깨 1스푼', '참기름 1스푼', '후춧가루 약간  간장 3스푼', '맛술 1스푼', '설탕 0.3스푼', '다진 마늘 0.3스푼', '다진 파 1스푼', '다진 홍 고추 0.5스푼', '다진 청양고추 0.5스푼', '고춧가루 0.3스푼', '참기름 1스푼', '통깨 1스푼']"
